lgacode21,did_not_go_to_school_indig_f,did_not_go_to_school_indig_m,did_not_go_to_school_non_indig_f,did_not_go_to_school_non_indig_m,did_not_go_to_school_indig_stat_notstated_f,did_not_go_to_school_indig_stat_notstated_m,y8_below_indig_f,y8_below_indig_m,y8_below_non_indig_f,y8_below_non_indig_m,y8_below_indig_stat_notstated_f,y8_below_indig_stat_notstated_m,y9_equivalent_indig_f,y9_equivalent_indig_m,y9_equivalent_non_indig_f,y9_equivalent_non_indig_m,y9_equivalent_indig_stat_notstated_f,y9_equivalent_indig_stat_notstated_m,y10_equivalent_indig_f,y10_equivalent_indig_m,y10_equivalent_non_indig_f,y10_equivalent_non_indig_m,y10_equivalent_indig_stat_notstated_f,y10_equivalent_indig_stat_notstated_m,y11_equivalent_indig_f,y11_equivalent_indig_m,y11_equivalent_non_indig_f,y11_equivalent_non_indig_m,y11_equivalent_indig_stat_notstated_f,y11_equivalent_indig_stat_notstated_m,y12_equivalent_indig_f,y12_equivalent_indig_m,y12_equivalent_non_indig_f,y12_equivalent_non_indig_m,y12_equivalent_indig_stat_notstated_f,y12_equivalent_indig_stat_notstated_m
10050,3,5,207,182,0,0,59,54,821,776,9,10,71,57,1252,1307,14,8,203,184,5024,5072,27,28,84,60,2145,2202,8,13,221,171,11137,9155,47,40
10180,6,5,107,84,0,0,57,62,338,399,11,6,86,75,464,495,0,6,170,173,1956,2047,21,23,73,54,512,524,0,0,280,181,6434,5488,16,22
10250,3,5,50,53,0,0,37,42,600,617,5,14,54,59,1165,1062,9,12,171,177,5048,4599,40,38,74,70,1144,1162,4,5,231,182,9680,8221,50,46
10300,0,0,7,3,0,0,4,9,56,67,0,0,9,4,45,78,0,0,16,11,150,205,0,0,4,4,89,94,0,0,9,10,315,238,0,0
10470,0,0,59,57,0,0,46,52,498,587,4,4,112,97,914,921,14,7,270,246,3979,4428,21,32,100,87,910,996,6,4,325,265,8556,7042,28,20
10500,10,5,1450,1022,8,10,36,34,3390,2509,30,18,48,32,1797,1658,4,10,175,182,7997,8426,41,45,56,56,2422,2940,3,12,383,340,49753,48786,127,105
10550,3,7,32,39,0,3,41,40,527,646,16,7,33,50,864,972,14,6,133,134,3753,3980,28,37,48,37,1320,1282,9,11,125,125,7043,5698,39,38
10600,0,0,15,22,0,0,15,8,174,192,4,0,13,14,357,379,4,0,51,56,1275,1374,14,10,18,17,302,346,0,5,75,51,2754,2118,12,11
10650,0,0,8,3,0,0,8,13,183,250,3,5,9,18,294,356,0,3,15,20,814,924,7,7,11,7,446,461,0,3,31,11,1285,972,8,0
10750,34,23,2267,1576,17,11,258,243,5644,4529,44,42,461,364,5233,5108,37,35,1142,1093,21646,22692,88,114,372,279,5241,5939,26,22,1247,899,94371,90406,198,198
10800,0,0,4,3,0,0,3,9,83,119,5,3,16,21,149,189,0,3,40,35,601,776,7,0,8,10,150,131,0,3,30,22,824,579,3,4
10850,0,3,7,8,0,0,3,9,111,129,0,0,9,16,153,224,3,3,51,46,791,946,5,11,21,8,172,152,0,0,46,34,1301,974,4,0
10900,0,0,79,75,0,0,25,34,524,489,7,12,34,43,1188,1097,3,11,199,222,6659,6517,32,20,53,51,1489,1642,12,7,338,262,20118,17666,59,50
10950,0,0,5,4,0,0,3,10,30,53,0,0,9,11,53,70,0,0,49,50,211,297,3,0,9,11,54,56,0,0,49,34,337,253,5,4
11150,4,8,0,5,0,0,28,30,25,40,0,0,36,28,33,31,0,0,70,59,107,153,0,0,20,23,30,43,0,0,69,41,293,225,0,0
11200,6,6,0,0,0,0,28,34,3,10,0,8,36,50,13,20,0,0,99,74,35,50,0,3,36,9,16,17,0,0,48,41,104,95,4,0
11250,0,6,12,25,0,0,48,54,535,541,8,4,76,63,724,633,11,9,202,168,2128,2201,14,15,66,66,443,509,3,4,152,115,2123,1698,10,15
11300,4,0,431,357,0,0,3,0,800,589,0,0,7,0,393,369,4,0,12,15,1283,1246,0,5,4,11,366,455,0,0,26,31,12898,12491,18,25
11350,0,3,25,27,0,0,9,7,198,241,0,7,9,9,380,408,3,4,75,70,2402,2404,8,12,17,19,795,832,10,4,116,119,9683,8113,38,19
11400,0,4,12,11,0,0,8,17,187,252,3,0,28,22,288,393,3,0,66,68,1355,1644,12,14,33,17,291,279,3,5,75,54,2435,1888,8,6
11450,7,6,351,301,0,0,33,41,1160,1069,11,5,80,77,1893,1870,9,7,338,357,9383,10565,32,32,120,98,2185,2548,8,3,594,404,25917,21999,37,35
11500,19,16,873,617,11,0,138,126,2502,2157,17,20,280,231,3511,3281,25,17,665,625,13539,13422,68,68,240,195,3120,3489,10,19,873,578,36954,34341,99,87
11520,0,0,460,312,0,0,11,4,1316,961,5,6,11,8,832,703,5,4,32,37,4392,3577,7,7,8,19,944,1117,0,3,119,109,27829,25717,54,51
11570,9,13,5137,3981,22,16,60,54,9140,7803,41,42,103,77,5115,5052,38,35,278,249,18945,20017,102,109,70,76,4496,5229,22,20,451,359,87215,85681,201,221
11600,0,0,3,9,0,0,0,3,36,69,3,0,15,17,56,93,3,0,22,31,208,330,0,4,5,6,66,86,0,0,28,16,437,373,0,0
11650,27,32,457,515,5,9,223,288,4593,4154,59,48,562,525,9365,8153,78,75,1736,1752,39071,36549,249,215,545,515,7704,8519,40,48,2123,1675,66224,58362,230,179
11700,4,4,4,4,0,0,27,44,16,50,0,0,68,45,37,37,0,0,70,54,77,107,0,6,22,16,26,34,0,0,33,19,149,122,0,0
11720,8,7,70,91,0,0,109,129,1008,1063,17,11,226,206,2214,1988,17,20,661,647,7429,8059,64,48,219,180,1667,1722,13,12,591,460,8593,6858,32,25
11730,7,10,57,60,0,0,76,87,873,1118,11,16,142,145,1786,1807,19,28,465,378,6870,6772,52,65,130,119,1345,1415,9,22,421,323,7795,6590,66,57
11750,0,0,4,5,0,0,18,22,65,93,0,0,11,26,82,92,5,0,63,66,319,449,3,7,31,21,87,109,4,3,72,30,508,394,3,4
11800,8,8,273,223,5,5,83,111,1149,1215,19,24,179,151,1993,1892,22,30,477,441,8402,8108,79,67,155,121,2028,2055,12,23,546,416,14655,12446,63,59
12000,0,0,3,4,0,0,8,4,61,102,0,0,10,9,136,149,0,0,27,17,544,607,5,4,10,6,105,119,0,0,32,16,636,467,4,0
12150,7,4,4,8,0,0,25,48,35,82,0,3,58,62,54,70,0,0,146,132,224,266,9,11,51,28,52,58,0,0,134,72,418,285,0,6
12160,0,3,19,17,0,0,16,32,242,249,3,3,32,21,355,396,6,3,89,82,1335,1463,12,11,19,22,298,285,0,0,68,49,1676,1344,3,5
12350,0,0,12,19,0,0,19,31,221,323,4,4,52,51,387,433,3,7,130,132,1576,1703,20,20,27,28,290,248,0,3,99,61,1793,1413,11,14
12380,5,9,3731,3413,15,13,38,40,5118,4986,22,31,59,45,2905,3270,24,14,151,153,10247,11255,44,49,43,35,2505,3179,13,22,232,160,54857,58065,127,140
12390,8,16,44,68,0,0,198,200,651,783,15,10,251,297,960,1063,17,12,906,896,4663,5030,52,53,295,232,1048,991,7,8,999,726,9001,7197,45,33
12700,0,0,3,10,0,0,9,22,109,158,4,6,23,30,271,287,5,4,70,99,1164,1392,16,13,30,22,235,217,0,0,66,44,1552,1218,14,13
12730,0,0,10,17,0,0,13,13,167,212,11,3,14,14,259,318,0,7,34,35,805,890,6,0,21,22,316,348,7,3,51,28,1357,977,3,8
12750,16,12,32,46,0,3,66,70,615,681,10,15,101,111,1188,1147,19,18,268,240,4736,4616,44,35,60,78,1103,1151,17,8,211,199,7352,6456,53,35
12850,12,10,8029,5432,29,24,43,48,8812,7122,41,41,79,49,4325,4056,26,21,148,128,10438,11273,45,58,57,33,2799,3524,10,11,180,145,41868,41112,73,104
12870,0,4,15,22,0,0,9,10,271,308,6,5,17,15,434,527,16,11,34,36,1349,1580,16,19,13,14,656,697,9,4,31,18,1972,1446,6,8
12900,0,4,7,14,0,0,21,40,134,210,3,0,40,49,213,274,4,0,135,135,919,1010,14,9,40,31,204,226,4,0,135,86,1377,1084,6,10
12930,0,3,1152,763,5,0,12,6,2654,1936,7,9,27,22,1974,1567,9,10,95,92,7631,7148,38,17,36,19,1686,1941,4,6,204,170,43845,42840,85,75
12950,0,3,3,3,0,0,15,24,74,110,5,0,42,32,120,164,0,0,65,55,425,484,10,5,17,17,79,81,0,0,52,41,568,377,6,5
13010,3,3,3,15,0,0,20,17,189,237,6,0,31,24,235,280,5,4,70,82,1098,1100,18,13,23,22,205,162,3,3,73,45,1301,1029,9,10
13310,3,0,53,60,0,0,24,38,526,611,9,4,49,46,875,951,3,6,158,151,3540,3714,12,24,40,39,751,782,0,3,187,120,5405,4663,14,16
13340,0,4,3,4,0,0,8,13,136,254,0,0,8,7,247,374,0,7,31,36,1035,1313,11,5,9,11,394,408,0,8,39,33,1811,1326,12,9
13450,8,3,163,148,0,3,41,48,637,627,5,4,71,53,557,554,5,14,152,166,2531,2905,16,18,50,50,596,643,0,5,115,81,4511,4038,13,14
13550,0,9,15,20,0,0,45,49,143,228,3,8,78,83,302,349,3,12,224,205,1236,1418,10,24,74,41,251,269,0,0,164,135,1852,1417,15,13
13660,0,0,6,8,0,0,3,9,122,165,3,4,15,14,149,186,3,3,41,39,585,614,0,10,10,6,98,107,5,0,26,24,697,537,6,0
13800,4,7,101,99,0,0,57,51,764,906,5,13,102,102,1521,1771,16,5,321,389,7342,8690,26,28,97,96,1522,1664,9,7,412,295,12606,10014,27,35
13850,0,3,5,8,0,0,0,18,58,74,0,0,9,11,77,110,0,5,16,23,266,278,0,0,7,11,91,95,5,0,23,24,428,340,6,7
