lgacode21,arthritis_indig_f,arthritis_indig_m,arthritis_non_indig_f,arthritis_non_indig_m,arthritis_indig_stat_notstated_f,arthritis_indig_stat_notstated_m,asthma_indig_f,asthma_indig_m,asthma_non_indig_f,asthma_non_indig_m,asthma_indig_stat_notstated_f,asthma_indig_stat_notstated_m,cancer_indig_f,cancer_indig_m,cancer_non_indig_f,cancer_non_indig_m,cancer_indig_stat_notstated_f,cancer_indig_stat_notstated_m,dementia_indig_f,dementia_indig_m,dementia_non_indig_f,dementia_non_indig_m,dementia_indig_stat_notstated_f,dementia_indig_stat_notstated_m,diabetes_indig_f,diabetes_indig_m,diabetes_non_indig_f,diabetes_non_indig_m,diabetes_indig_stat_notstated_f,diabetes_indig_stat_notstated_m,heartdisease_indig_f,heartdisease_indig_m,heartdisease_non_indig_f,heartdisease_non_indig_m,heartdisease_indig_stat_notstated_f,heartdisease_indig_stat_notstated_m,kidneydisease_indig_f,kidneydisease_indig_m,kidneydisease_non_indig_f,kidneydisease_non_indig_m,kidneydisease_indig_stat_notstated_f,kidneydisease_indig_stat_notstated_m,lungcondition_indig_f,lungcondition_indig_m,lungcondition_non_indig_f,lungcondition_non_indig_m,lungcondition_indig_stat_notstated_f,lungcondition_indig_stat_notstated_m,mentalhealth_indig_f,mentalhealth_indig_m,mentalhealth_non_indig_f,mentalhealth_non_indig_m,mentalhealth_indig_stat_notstated_f,mentalhealth_indig_stat_notstated_m,stroke_indig_f,stroke_indig_m,stroke_non_indig_f,stroke_non_indig_m,stroke_indig_stat_notstated_f,stroke_indig_stat_notstated_m,other_indig_f,other_indig_m,other_non_indig_f,other_non_indig_m,other_indig_stat_notstated_f,other_indig_stat_notstated_m
10050,81,51,3533,1949,31,17,199,135,3091,2251,15,14,22,16,938,926,7,11,4,4,276,190,0,0,62,42,1254,1349,5,9,37,38,1039,1499,17,12,13,9,291,268,0,4,33,22,597,565,11,3,240,142,3759,2353,17,17,0,4,321,312,3,6,99,94,2564,1919,18,0
10180,80,53,1544,897,21,13,190,126,1380,1006,15,7,20,15,446,455,6,6,6,0,90,62,0,3,86,54,475,576,4,7,38,51,473,661,3,4,17,14,95,123,0,0,26,22,275,240,3,3,167,104,1576,939,9,9,9,8,123,131,0,3,83,88,1295,880,8,3
10250,76,44,3023,1838,35,19,122,92,1989,1534,10,5,25,11,878,906,28,8,0,0,299,191,13,6,73,48,832,1004,12,3,22,44,1011,1509,17,14,14,12,274,259,3,6,15,23,580,535,5,9,155,116,2587,1753,17,13,7,10,309,338,3,9,75,87,2127,1594,21,24
10300,9,0,96,75,0,0,15,5,73,80,0,0,0,0,19,28,0,0,0,0,18,4,0,0,4,3,52,51,0,0,8,5,50,56,0,0,0,0,7,14,0,0,5,0,15,13,0,0,4,6,59,41,0,0,0,0,7,10,0,0,9,5,52,52,0,0
10470,131,79,2616,1648,25,6,306,195,2445,1869,14,10,27,8,665,709,4,0,9,3,227,153,3,0,89,70,875,1116,13,6,37,38,643,1026,9,5,11,6,186,189,0,4,34,23,416,402,4,8,286,179,2577,1686,7,4,17,11,211,221,0,3,150,126,2028,1569,5,8
10500,88,54,6553,3388,57,29,148,90,4794,4326,25,10,20,10,1972,1642,18,5,5,5,774,534,34,24,68,40,3497,4050,29,25,36,35,2046,3146,26,17,13,9,589,709,9,7,22,19,737,787,12,0,172,100,5480,3532,61,33,13,11,527,661,7,6,100,60,6395,5002,44,32
10550,71,49,2868,1880,37,13,93,79,1744,1243,14,6,20,11,719,756,6,7,0,0,145,143,0,3,40,45,735,1011,11,13,21,36,791,1328,13,16,5,4,289,265,4,0,21,20,528,514,10,11,104,78,2096,1399,19,14,11,8,173,238,3,4,57,70,1644,1341,20,15
10600,28,21,869,546,9,12,40,24,537,368,3,4,7,7,250,258,5,4,0,0,86,69,0,3,13,13,248,280,4,3,6,11,274,387,4,6,4,3,83,76,0,3,15,10,173,193,6,4,43,33,782,491,7,8,0,0,70,91,0,0,35,27,676,502,7,3
10650,16,6,742,545,4,0,35,14,472,377,0,3,3,4,197,178,0,0,0,0,63,52,0,0,5,7,212,299,3,0,3,0,216,321,0,10,4,0,62,53,4,6,5,5,112,104,0,5,23,22,491,327,3,3,0,0,58,81,0,0,11,9,371,279,0,0
10750,563,267,14851,8132,118,74,1267,866,14497,12103,74,42,105,72,3662,2967,27,24,21,25,1130,716,15,16,380,275,10937,12596,47,66,186,200,4462,7147,49,50,71,58,1522,1576,12,16,206,122,2316,2149,24,16,1109,745,13232,8512,66,49,59,44,1149,1429,10,16,627,505,14664,11818,59,50
10800,20,11,396,272,5,3,34,18,251,179,3,0,0,4,92,106,0,0,0,0,13,15,0,0,6,8,124,163,4,3,5,6,96,129,0,0,0,0,28,23,0,0,6,0,61,66,0,3,34,11,202,127,0,3,0,0,23,27,0,0,15,15,154,133,5,4
10850,14,13,454,305,3,4,50,43,382,303,8,0,6,4,125,137,0,0,0,3,23,21,0,0,8,5,185,198,3,0,6,3,143,189,0,0,3,0,36,37,0,0,0,6,80,93,0,0,40,27,377,259,7,5,0,0,36,38,0,0,21,21,304,220,3,3
10900,89,67,5167,2901,39,13,190,140,4031,3043,15,11,21,24,1587,1337,15,3,8,0,315,238,11,3,58,50,1535,1909,5,11,32,41,1502,2324,15,10,3,10,351,392,0,0,25,27,856,799,8,7,193,143,5192,3318,27,18,3,19,383,395,4,5,140,128,4542,3464,27,16
10950,12,17,118,75,0,0,27,30,96,67,0,0,5,8,37,39,0,0,0,0,4,4,0,0,9,12,57,56,3,0,8,13,41,62,0,0,0,0,15,8,0,0,7,3,21,26,0,0,23,13,87,44,0,0,0,0,13,12,0,0,6,7,43,40,0,0
11150,32,13,51,41,0,0,49,31,54,55,0,0,9,7,21,24,0,0,11,0,8,9,0,0,39,26,14,42,0,0,23,17,22,42,0,0,13,6,5,12,0,0,9,7,13,8,0,0,36,17,54,31,0,0,9,5,3,7,0,0,24,29,50,36,0,0
11200,34,19,20,24,0,5,38,34,16,17,0,0,6,5,0,3,0,0,7,0,3,5,0,0,52,37,10,11,0,0,30,22,8,11,0,5,6,0,0,3,0,0,10,3,3,3,0,0,20,20,14,5,0,0,11,6,0,0,0,0,10,11,9,11,0,0
11250,68,49,1433,923,17,9,152,132,1057,760,12,7,21,10,278,283,0,3,0,0,114,67,0,0,62,56,635,666,6,10,30,26,423,581,0,4,14,10,127,124,4,0,30,19,236,294,5,0,148,103,1087,730,8,3,10,0,105,120,0,5,72,74,731,596,5,3
11300,6,6,1314,656,7,3,13,7,933,876,0,0,0,0,437,328,3,0,0,0,175,128,0,0,9,0,752,893,8,3,10,3,484,646,3,0,0,0,128,149,0,0,0,0,148,183,4,0,13,8,1111,754,0,4,0,0,115,134,3,0,11,6,1485,1108,3,0
11350,15,19,1451,978,10,13,43,37,1105,975,9,0,5,9,501,490,4,8,0,0,105,69,0,5,13,14,282,389,6,5,6,10,402,681,0,0,7,0,91,98,0,0,4,12,271,352,6,0,47,50,1580,1005,14,9,0,8,134,130,0,0,31,31,1432,1042,8,10
11400,31,24,794,592,11,5,62,48,613,516,7,4,6,6,230,236,0,3,5,0,56,42,0,0,15,14,294,344,0,10,7,12,237,363,0,3,3,4,56,52,0,0,6,9,138,159,6,4,64,35,670,434,4,6,6,3,57,71,0,0,40,32,478,392,3,0
11450,147,66,4825,2782,32,19,291,231,4610,4156,18,18,35,26,1286,1121,5,3,8,6,331,227,5,7,67,64,2066,2694,11,13,46,46,1288,2005,10,10,19,18,372,401,6,7,35,26,669,532,5,6,296,178,5159,2938,14,13,11,12,357,365,0,5,190,185,4747,3557,13,11
11500,387,184,9409,5132,85,44,734,566,7668,6041,30,24,78,52,2054,1785,19,13,14,10,591,391,6,3,234,162,5315,5954,37,36,108,110,2519,3684,22,22,45,37,838,840,8,0,107,64,1499,1214,17,10,717,465,7630,4741,50,39,36,30,707,828,6,8,401,344,7534,5911,40,41
11520,30,7,3753,1920,16,9,34,29,2706,2320,12,5,8,3,1317,1060,4,3,0,0,347,213,0,9,6,3,1491,1865,3,7,4,10,1107,1795,7,15,3,0,250,351,3,0,8,4,434,381,0,5,49,38,2895,1766,6,9,0,0,261,333,0,3,16,30,3626,2644,10,9
11570,141,92,15286,7674,109,65,251,168,10558,9818,41,44,33,18,4048,3160,21,27,3,3,1545,1083,13,16,105,83,9568,10881,58,54,55,65,4460,7011,32,59,20,21,1432,1729,11,18,40,19,1910,2092,11,21,276,166,11119,7219,53,43,21,8,1185,1570,8,16,155,139,14356,11790,56,50
11600,7,14,121,79,5,0,18,23,121,128,0,0,0,0,39,34,0,0,0,0,7,3,0,0,4,6,36,60,4,0,3,5,40,58,0,0,0,3,12,15,0,0,4,4,26,22,0,0,22,11,96,57,0,0,0,0,9,13,0,0,7,7,75,54,0,0
11650,816,488,24097,14012,228,111,1517,1116,17606,12901,87,59,193,138,6755,5761,52,40,46,36,2019,1519,59,26,432,356,8131,9825,77,73,263,303,6579,10100,91,86,108,94,2069,2109,18,17,281,172,4764,3915,59,38,1795,1175,21274,13530,118,89,93,78,1971,2309,31,25,871,790,16811,12503,95,84
11700,19,15,62,58,0,0,48,17,27,35,0,0,3,0,9,20,0,0,0,0,4,0,0,0,21,29,30,37,0,0,16,22,14,28,0,0,0,5,6,9,0,0,11,5,8,16,0,0,27,12,35,27,0,0,3,8,12,6,0,0,11,14,18,29,0,0
11720,325,177,4232,2682,41,26,606,455,3395,2504,30,20,66,46,896,943,14,6,13,7,284,216,0,0,166,143,1603,1859,14,11,87,104,1163,1731,20,15,37,30,366,362,9,8,79,68,777,767,9,8,652,449,4381,2720,45,25,31,28,324,362,6,7,335,283,2768,2168,27,14
11730,187,120,4334,3007,49,41,336,221,2636,1871,26,23,49,29,1106,1162,7,6,6,8,340,244,5,3,123,119,1331,1683,14,19,80,95,1268,1913,13,27,36,31,389,445,3,8,70,50,887,900,11,20,333,256,3188,2352,37,15,25,21,324,414,3,8,185,175,2354,2022,20,20
