lgacode21,pd_gd_gc_indig_f,pd_gd_gc_indig_m,pd_gd_gc_non_indig_f,pd_gd_gc_non_indig_m,pd_gd_gc_indig_stat_notstated_f,pd_gd_gc_indig_stat_notstated_m,bd_indig_f,bd_indig_m,bd_non_indig_f,bd_non_indig_m,bd_indig_stat_notstated_f,bd_indig_stat_notstated_m,adip_dip_indig_f,adip_dip_indig_m,adip_dip_non_indig_f,adip_dip_non_indig_m,adip_dip_indig_stat_notstated_f,adip_dip_indig_stat_notstated_m,ct_iii_iv_indig_f,ct_iii_iv_indig_m,ct_iii_iv_non_indig_f,ct_iii_iv_non_indig_m,ct_iii_iv_indig_stat_notstated_f,ct_iii_iv_indig_stat_notstated_m,ct_i_ii_indig_f,ct_i_ii_indig_m,ct_i_ii_non_indig_f,ct_i_ii_non_indig_m,ct_i_ii_indig_stat_notstated_f,ct_i_ii_indig_stat_notstated_m
10050,17,10,1661,1085,3,6,39,15,3658,2228,14,7,61,40,2425,1632,8,3,139,143,3358,5751,7,37,24,8,380,208,0,0
10180,20,15,1542,1212,0,0,42,22,2095,1408,6,6,49,24,1094,638,8,3,120,124,1145,2144,5,22,23,16,202,130,0,0
10250,30,13,1524,988,0,0,45,23,3643,2513,17,12,71,39,2349,1517,18,3,111,143,2406,4640,13,37,22,7,298,151,0,0
10300,0,0,18,11,0,0,0,0,74,33,0,0,0,7,67,29,0,0,12,0,93,170,0,0,0,0,16,4,0,0
10470,20,0,1203,899,0,3,65,32,2832,1640,6,9,83,40,1750,1077,6,3,186,205,2461,4531,12,18,25,13,315,184,3,0
10500,31,22,8861,7682,17,10,82,46,17861,15392,27,29,93,45,8181,7045,24,11,116,191,4931,10396,15,40,16,13,717,452,4,0
10550,13,7,1149,724,4,3,24,22,2293,1436,5,8,39,21,1658,1031,8,3,88,111,2124,4086,23,34,10,11,269,131,0,0
10600,9,3,499,293,0,0,21,13,999,617,6,0,19,6,656,379,5,3,43,51,667,1410,3,14,3,0,92,31,0,0
10650,3,0,113,62,0,0,4,0,389,191,3,0,0,8,306,191,0,0,25,25,503,922,4,4,3,3,67,30,5,0
10750,72,24,15566,14514,22,14,185,98,32629,26476,40,44,335,128,14152,12776,35,21,687,636,13746,23385,41,58,107,45,1940,1086,3,0
10800,0,0,66,28,0,0,5,0,248,113,0,0,4,3,186,96,0,0,21,25,299,573,0,6,6,0,51,18,0,0
10850,5,3,174,97,0,0,14,4,415,232,0,0,13,8,298,163,0,0,31,38,457,828,4,13,6,0,73,35,0,0
10900,67,24,4773,3358,13,4,94,58,7361,5285,16,17,101,40,4232,3066,20,8,117,184,3542,7070,15,29,22,10,449,272,4,0
10950,6,3,36,20,0,0,3,5,114,52,0,0,3,0,61,34,0,0,32,31,98,218,5,0,0,0,11,6,0,0
11150,3,3,34,18,0,0,10,9,115,47,0,0,15,0,59,50,0,0,32,30,57,131,0,0,3,4,0,5,0,0
11200,3,0,12,6,0,0,10,0,41,24,0,0,14,0,22,13,0,0,17,26,19,42,0,0,5,0,7,0,0,0
11250,15,3,310,154,0,0,27,12,684,310,4,0,58,21,494,313,0,0,91,98,949,1835,7,17,10,8,118,64,0,0
11300,5,4,2568,2206,4,9,9,10,4513,4064,8,0,0,5,1979,1744,0,0,9,7,916,1525,0,0,9,0,151,82,0,0
11350,21,14,1644,1019,3,4,26,22,3802,2623,8,5,29,21,2072,1228,6,4,46,63,1363,2904,5,14,5,5,185,87,0,0
11400,3,3,324,197,0,0,10,13,861,483,5,4,24,9,567,341,0,0,45,53,699,1444,9,12,9,6,106,51,0,0
11450,64,16,3602,2424,4,0,131,69,7834,5072,8,8,153,72,5594,3943,10,6,273,326,5883,11677,6,16,22,15,686,294,0,0
11500,58,20,4943,4567,11,3,144,39,10642,8137,18,10,258,79,6764,5178,26,14,447,411,7837,13218,18,42,87,29,1124,553,0,0
11520,17,11,6295,5338,12,5,28,24,11071,9364,12,16,23,19,4459,3355,10,7,28,34,2148,4671,4,19,8,0,333,207,0,0
11570,50,31,10992,10678,14,19,113,58,25564,22528,29,25,102,55,14816,11725,35,18,145,192,10411,20497,27,94,14,17,1734,974,7,6
11600,0,0,30,10,0,0,0,0,130,84,0,0,4,0,90,58,0,0,13,20,131,222,0,0,4,0,17,13,0,0
11650,157,87,8577,6219,14,9,527,237,20803,14023,53,33,578,258,16409,10460,45,26,1307,1492,20099,36532,87,153,155,71,2443,1330,6,0
11700,4,0,25,11,0,0,0,3,53,24,0,0,13,0,29,26,0,0,18,17,45,84,0,0,0,0,10,8,0,0
11720,46,15,776,433,0,0,101,37,2253,1210,10,3,168,63,2228,1230,16,0,470,564,4431,7526,15,42,70,31,569,260,5,0
11730,31,15,862,602,3,3,68,30,2338,1400,13,4,119,52,2083,1209,18,15,317,298,3277,5835,21,44,43,30,468,247,3,0
11750,7,0,38,26,0,0,18,0,138,87,3,0,17,5,93,48,0,0,38,48,180,418,4,4,0,6,28,3,0,0
11800,48,30,2018,1325,3,3,146,61,4894,3229,11,11,139,82,3767,2206,17,7,357,339,4548,8055,21,39,51,32,554,317,3,0
12000,0,0,80,49,0,0,10,0,220,90,0,0,6,8,149,88,0,0,20,12,228,463,0,0,3,0,26,16,0,0
12150,6,0,49,13,0,0,10,0,147,64,0,0,20,5,83,49,0,0,69,65,112,190,3,4,17,3,17,5,0,0
12160,3,0,150,104,0,0,6,3,486,260,0,0,11,9,443,265,9,0,46,61,610,1108,0,3,5,5,89,52,0,0
12350,9,11,187,88,0,0,20,11,504,290,5,0,34,7,487,243,4,3,77,77,689,1303,3,3,15,9,103,66,0,0
12380,21,16,8268,8991,9,11,50,33,16935,15899,19,20,66,24,8916,7877,24,9,85,102,5832,10844,18,37,12,6,985,549,0,0
12390,49,17,1315,885,3,6,214,68,3080,1749,13,3,270,98,1790,1090,14,4,537,655,2673,4769,16,32,67,37,353,158,0,0
12700,3,0,199,137,0,0,20,10,509,309,4,0,15,4,451,253,4,4,39,61,600,1217,3,12,6,0,68,32,0,0
