,LGA_CODE21,LGA_NAME21,AREASQKM21,LATITUDE,LONGITUDE
0,10050,Albury,305.6386,-36.02653880441892,146.9705259144983
1,10180,Armidale Regional,7809.4406,-30.367382623584515,151.8991113259668
2,10250,Ballina,484.9692,-28.85287486006754,153.48615711247285
3,10300,Balranald,21690.7493,-33.95033966688613,143.61162395830203
4,10470,Bathurst Regional,3817.8645,-33.430126013645044,149.52563941178136
5,10500,Bayside (NSW),50.6204,-33.949515669894126,151.16712041451075
6,10550,Bega Valley,6278.5013,-36.82590196120465,149.7175933505947
7,10600,Bellingen,1600.4338,-30.403789777434696,152.72859634540401
8,10650,Berrigan,2065.8878,-35.734312626617545,145.71118028015695
9,10750,Blacktown,238.8471,-33.74093136152887,150.86409340585945
10,10800,Bland,8557.6536,-33.894330760361626,146.9612732780158
11,10850,Blayney,1524.647,-33.59431751235993,149.14206456412654
12,10900,Blue Mountains,1431.1442,-33.697531609858366,150.41114678475608
13,10950,Bogan,14599.8996,-31.538115990331672,146.86687907141285
14,11150,Bourke,41598.3722,-29.91058062123279,145.35681292906236
15,11200,Brewarrina,19162.0296,-29.791589585301285,146.96088373616126
16,11250,Broken Hill,170.1153,-31.944022303388085,141.4792749366148
17,11300,Burwood,7.1282,-33.88367352965525,151.10315744934755
18,11350,Byron,565.8027,-28.604154097757544,153.48251108665036
19,11400,Cabonne,6022.3496,-33.15298480856995,148.754106870388
20,11450,Camden,201.5278,-34.00883082672776,150.72419936021015
21,11500,Campbelltown (NSW),311.4117,-34.08341200657833,150.84586321998893
22,11520,Canada Bay,19.9239,-33.853485275033414,151.11483084730395
23,11570,Canterbury-Bankstown,110.2374,-33.92349501679087,151.0373257280851
24,11600,Carrathool,18934.4853,-33.608979657096945,145.49643135896565
25,11650,Central Coast (NSW),1681.0059,-33.30797388065274,151.28548829662802
26,11700,Central Darling,53492.193,-31.85068475884347,143.58969838225312
27,11720,Cessnock,1965.1593,-32.925055455013535,151.22490546813526
28,11730,Clarence Valley,10428.6804,-29.681725515694385,152.75115777706608
29,11750,Cobar,45575.3512,-31.867968183772376,145.4828567694743
30,11800,Coffs Harbour,1173.7435,-30.189026103639147,153.0398402465171
31,12000,Coolamon,2430.9037,-34.632518519038825,147.10483883357782
32,12150,Coonamble,9916.0535,-30.87053564848261,148.29161324862213
33,12160,Cootamundra-Gundagai Regional,3981.4172,-34.852962186072396,148.09412534231163
34,12350,Cowra,2808.7821,-33.79637040261511,148.71795613117516
35,12380,Cumberland,72.7496,-33.84213682892982,150.98646528562347
36,12390,Dubbo Regional,7534.5251,-32.424703748807346,148.85441677724688
37,12700,Dungog,2249.9983,-32.34954786293114,151.60829288441542
38,12730,Edward River,8883.4463,-35.172531265143796,144.94147813512998
39,12750,Eurobodalla,3428.1695,-35.9451437236788,149.9470547337783
40,12850,Fairfield,101.5072,-33.865621699769164,150.89542221807775
41,12870,Federation,5684.9253,-35.49704283878335,146.27137211641215
42,12900,Forbes,4710.128,-33.421618711981914,147.86720794143736
43,12930,Georges River,38.3375,-33.97101883503972,151.08636364868647
44,12950,Gilgandra,4831.5057,-31.61901370114243,148.69074002718668
45,13010,Glen Innes Severn,5479.977,-29.644973753301205,151.9030483379773
46,13310,Goulburn Mulwaree,3220.0796,-34.87602675695074,149.81349691781995
47,13340,Greater Hume Shire,5749.3875,-35.75025981487827,147.17183504031757
48,13450,Griffith,1639.1732,-34.30039735470649,146.0035940377669
49,13550,Gunnedah,4987.0295,-31.046532884518708,150.1888955933682
50,13660,Gwydir,9259.6544,-29.593468272674194,150.5168155241053
51,13800,Hawkesbury,2775.1378,-33.33476611712355,150.7732475466966
52,13850,Hay,11325.9324,-34.31584890036199,144.6837063255643
53,13910,Hilltops,7140.8865,-34.35199699107697,148.50096323475128
54,14000,Hornsby,455.0374,-33.58391774521445,151.08941968499965
55,14100,Hunters Hill,5.7169,-33.833339147830976,151.14513441487438
56,14170,Inner West,35.2115,-33.891321934281905,151.1549153515687
57,14220,Inverell,9404.7564,-29.41883717233053,151.0751813571602
58,14300,Junee,2030.0222,-34.81719376300848,147.66888249166522
59,14350,Kempsey,3375.6704,-30.95153403037532,152.6447387480195
60,14400,Kiama,257.6638,-34.67885793240436,150.75622964353823
61,14500,Ku-ring-gai,85.4093,-33.73459751443234,151.15091372268304
62,14550,Kyogle,3584.1829,-28.617781140851413,152.77558182656412
63,14600,Lachlan,14968.2539,-32.92009535417166,146.98971404194174
64,14650,Lake Macquarie,648.6393,-33.038844438998915,151.53018756077742
65,14700,Lane Cove,10.4789,-33.81998082406331,151.166900763523
66,14750,Leeton,1167.1876,-34.53235693091234,146.30208843364784
67,14850,Lismore,1287.7042,-28.75616217951886,153.27066135655815
68,14870,Lithgow,4512.2561,-33.2776619646693,150.1789617311309
69,14900,Liverpool,305.7401,-33.93595833558214,150.82521251843556
70,14920,Liverpool Plains,5082.2398,-31.55060702437997,150.4384220192372
71,14950,Lockhart,2895.8049,-35.33125992992933,146.77544395478515
72,15050,Maitland,391.5089,-32.710801082213706,151.5497612147828
73,15240,Mid-Coast,10053.8633,-32.015303179847095,152.0957633528542
